place_id,place_name,n_reviews,n_issue_reviews,avg_review_star,place_overall_rating,issue_rate
ChIJdagV7_DO5zsRHuw2MMaQScw,Enrich Salon,5,3,1.0,4.4,60.0
ChIJI_68XMXP5zsRDmOdN84dbjE,Enrich Salon,5,2,3.4,4.6,40.0
ChIJK4iGXGvP5zsRKzYaW8Ju_tc,The Bombay Nail Company,5,2,3.6,4.5,40.0
ChIJMZ2onOnJ5zsRoXkSO6vu7fU,Lubss Spa Luxuries Juhu,5,2,2.6,4.7,40.0
ChIJWVczCGvP5zsRsagxam1Q6Dc,Afsha makeup studio and academy,5,2,3.4,4.5,40.0
ChIJWex-wBXJ5zsRZrpsPum2O78,Sukho Thai Spa,5,2,3.6,4.3,40.0
ChIJZXN8xSHJ5zsR-WDKrG7K7dI,Aura Thai Spa - Best Spa in Mumbai,5,2,3.0,3.9,40.0
ChIJhd7qNcHR5zsRMUFH8r115og,The Palms Spa,5,2,3.0,4.0,40.0
ChIJr3dkuMvP5zsRaBq6z4kNEg0,Nails and lashes by yashi jain,5,2,3.4,4.9,40.0
ChIJt_U01RbJ5zsRvPDioTm8jsY,Happy in the Head,5,2,2.6,4.3,40.0
